State,Measure ID,Measure Name,Number of Hospitals Worse,Number of Hospitals Same,Number of Hospitals Better,Number of Hospitals Too Few,Footnote,Start Date,End Date
NY,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,13.00 ,122.00 ,8.00 ,,,07/01/2019,06/30/2021
FL,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,11.00 ,151.00 ,8.00 ,,,07/01/2019,06/30/2021
GA,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,5.00 ,81.00 ,2.00 ,,,07/01/2019,06/30/2021
IL,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,5.00 ,116.00 ,5.00 ,,,07/01/2019,06/30/2021
TX,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,5.00 ,256.00 ,8.00 ,,,07/01/2019,06/30/2021
SC,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,4.00 ,46.00 ,3.00 ,,,07/01/2019,06/30/2021
AR,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,3.00 ,40.00 ,0.00 ,,,07/01/2019,06/30/2021
AZ,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,3.00 ,60.00 ,0.00 ,,,07/01/2019,06/30/2021
CA,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,3.00 ,276.00 ,7.00 ,,,07/01/2019,06/30/2021
LA,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,3.00 ,73.00 ,2.00 ,,,07/01/2019,06/30/2021
MD,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,3.00 ,41.00 ,1.00 ,,,07/01/2019,06/30/2021
MI,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,3.00 ,87.00 ,2.00 ,,,07/01/2019,06/30/2021
MS,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,3.00 ,43.00 ,0.00 ,,,07/01/2019,06/30/2021
NM,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,3.00 ,21.00 ,0.00 ,,,07/01/2019,06/30/2021
VA,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,3.00 ,66.00 ,3.00 ,,,07/01/2019,06/30/2021
DC,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,2.00 ,5.00 ,0.00 ,,,07/01/2019,06/30/2021
DE,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,2.00 ,5.00 ,0.00 ,,,07/01/2019,06/30/2021
KS,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,2.00 ,46.00 ,1.00 ,,,07/01/2019,06/30/2021
KY,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,2.00 ,59.00 ,2.00 ,,,07/01/2019,06/30/2021
MA,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,2.00 ,51.00 ,2.00 ,,,07/01/2019,06/30/2021
ND,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,2.00 ,4.00 ,1.00 ,,,07/01/2019,06/30/2021
NJ,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,2.00 ,58.00 ,5.00 ,,,07/01/2019,06/30/2021
PA,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,2.00 ,132.00 ,7.00 ,,,07/01/2019,06/30/2021
TN,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,2.00 ,72.00 ,2.00 ,,,07/01/2019,06/30/2021
AK,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,1.00 ,6.00 ,0.00 ,,,07/01/2019,06/30/2021
AL,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,1.00 ,66.00 ,0.00 ,,,07/01/2019,06/30/2021
CO,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,1.00 ,49.00 ,1.00 ,,,07/01/2019,06/30/2021
CT,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,1.00 ,25.00 ,1.00 ,,,07/01/2019,06/30/2021
IN,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,1.00 ,78.00 ,2.00 ,,,07/01/2019,06/30/2021
MN,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,1.00 ,43.00 ,4.00 ,,,07/01/2019,06/30/2021
MO,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,1.00 ,66.00 ,3.00 ,,,07/01/2019,06/30/2021
NE,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,1.00 ,23.00 ,1.00 ,,,07/01/2019,06/30/2021
NV,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,1.00 ,20.00 ,1.00 ,,,07/01/2019,06/30/2021
OH,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,1.00 ,119.00 ,4.00 ,,,07/01/2019,06/30/2021
OK,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,1.00 ,65.00 ,2.00 ,,,07/01/2019,06/30/2021
OR,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,1.00 ,31.00 ,2.00 ,,,07/01/2019,06/30/2021
WA,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,1.00 ,43.00 ,5.00 ,,,07/01/2019,06/30/2021
WV,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,1.00 ,28.00 ,0.00 ,,,07/01/2019,06/30/2021
HI,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,0.00 ,11.00 ,0.00 ,,,07/01/2019,06/30/2021
IA,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,0.00 ,34.00 ,0.00 ,,,07/01/2019,06/30/2021
ID,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,0.00 ,16.00 ,0.00 ,,,07/01/2019,06/30/2021
ME,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,0.00 ,17.00 ,1.00 ,,,07/01/2019,06/30/2021
MT,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,0.00 ,13.00 ,0.00 ,,,07/01/2019,06/30/2021
