State,definitely_gave_care_professional_way_facility_clean,somewhat_gave_care_professional_way_facility_somewhat_clean,didnot_give_care_professional_way_facility_not_clean,facilitiesandstafflinearmeanscore,definitelycommunicatedaboutwhattoexpectduringandaftertheprocedure,somewhatcommunicatedabout,didnotcommunicateabout,communicationaboutyourprocedurelinearmeanscore,patientswhogavethefacilityaratingof9or10onascalefrom0(lowest)to10(highest),ratingof7or8,ratingof0to6,ratingofthefacilitylinearmeanscore,definitely_yes_recommendthefacilitytofamilyorfriends,probably_yes_recommendthefacilitytofamilyorfriends,no_recommendthefacilitytofamilyorfriends,recommendinglinearmeanscore,number_sampledpatients,number_completedsurveys,surveyresponseratepercent,startdate,enddate
Alabama,97.00 ,3.00 ,0.00 ,98.00 ,93.00 ,5.00 ,2.00 ,95.00 ,90.00 ,8.00 ,2.00 ,95.00 ,89.00 ,10.00 ,1.00 ,96.00 ,2627.00 ,718.00 ,27.00 ,01/01/2022,12/31/2022
Alaska,,,,,,,,,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,
Arizona,97.00 ,3.00 ,0.00 ,98.00 ,91.00 ,7.00 ,2.00 ,95.00 ,90.00 ,8.00 ,2.00 ,95.00 ,88.00 ,11.00 ,1.00 ,95.00 ,23251.00 ,6398.00 ,28.00 ,01/01/2022,12/31/2022
Arkansas,,,,,,,,,,,,,,,,,,,,,
California,97.00 ,3.00 ,0.00 ,98.00 ,90.00 ,8.00 ,2.00 ,94.00 ,87.00 ,11.00 ,2.00 ,95.00 ,85.00 ,13.00 ,2.00 ,94.00 ,59460.00 ,16300.00 ,27.00 ,01/01/2022,12/31/2022
Colorado,98.00 ,2.00 ,0.00 ,99.00 ,92.00 ,6.00 ,2.00 ,95.00 ,89.00 ,9.00 ,2.00 ,95.00 ,85.00 ,13.00 ,2.00 ,94.00 ,14362.00 ,4096.00 ,29.00 ,01/01/2022,12/31/2022
Commonwealth of the Northern Marianas Islands,,,,,,,,,,,,,,,,,,,,,
Connecticut,98.00 ,2.00 ,0.00 ,99.00 ,93.00 ,6.00 ,1.00 ,96.00 ,89.00 ,11.00 ,0.00 ,96.00 ,88.00 ,11.00 ,1.00 ,95.00 ,1045.00 ,266.00 ,25.00 ,01/01/2022,12/31/2022
Delaware,,,,,,,,,,,,,,,,,,,,,
District of Columbia,,,,,,,,,,,,,,,,,,,,,
Florida,97.00 ,3.00 ,0.00 ,98.00 ,90.00 ,8.00 ,2.00 ,94.00 ,88.00 ,10.00 ,2.00 ,95.00 ,86.00 ,12.00 ,2.00 ,94.00 ,50328.00 ,16350.00 ,32.00 ,01/01/2022,12/31/2022
Georgia,98.00 ,2.00 ,0.00 ,99.00 ,92.00 ,6.00 ,2.00 ,95.00 ,91.00 ,7.00 ,2.00 ,96.00 ,89.00 ,9.00 ,2.00 ,95.00 ,15585.00 ,3752.00 ,24.00 ,01/01/2022,12/31/2022
Guam,,,,,,,,,,,,,,,,,,,,,
Hawaii,99.00 ,1.00 ,0.00 ,99.00 ,94.00 ,4.00 ,2.00 ,96.00 ,90.00 ,9.00 ,1.00 ,96.00 ,89.00 ,10.00 ,1.00 ,96.00 ,3783.00 ,1312.00 ,35.00 ,01/01/2022,12/31/2022
Idaho,99.00 ,1.00 ,0.00 ,99.00 ,93.00 ,6.00 ,1.00 ,96.00 ,91.00 ,8.00 ,1.00 ,96.00 ,87.00 ,11.00 ,2.00 ,95.00 ,2714.00 ,715.00 ,27.00 ,01/01/2022,12/31/2022
